│д╢╚ m	0бу	30бу	60бу	90бу	120бу	150бу	180бу	

[	q = 141120	]
0	0.33368	0.34177	0.36522	0.40045	0.43936	0.47018	0.48195	
0.0849643	0.3079	0.31562	0.33808	0.37197	0.40957	0.43945	0.45088	
0.169927	0.28061	0.28797	0.30943	0.34192	0.3781	0.40692	0.41796	
0.254891	0.25437	0.26135	0.28179	0.31288	0.34765	0.37543	0.38609	
0.339854	0.22382	0.23037	0.2496	0.27903	0.31211	0.33864	0.34884	
0.424818	0.19466	0.20076	0.21876	0.24651	0.2779	0.30318	0.31293	
0.509781	0.16663	0.17228	0.18903	0.21507	0.24475	0.26879	0.27807	
0.594745	0.13968	0.14487	0.16037	0.18469	0.21264	0.2354	0.24422	
0.679708	0.11382	0.11854	0.13278	0.15536	0.18156	0.20305	0.21139	
0.764672	0.09336	0.09766	0.11073	0.13173	0.15637	0.17671	0.18465	
0.849634	0.09306	0.09712	0.10959	0.12988	0.15391	0.17387	0.18168	
0.934599	0.09147	0.09534	0.10731	0.12697	0.15045	0.17007	0.17776	
1.01956	0.08902	0.09272	0.10425	0.12336	0.14634	0.16562	0.1732	
1.10453	0.08599	0.08954	0.10068	0.11928	0.14179	0.16075	0.16821	
1.18949	0.08257	0.08599	0.09676	0.11488	0.13694	0.15559	0.16294	
1.27445	0.07908	0.08236	0.0928	0.11047	0.1321	0.15045	0.15769	
1.35942	0.07582	0.07899	0.08911	0.10637	0.1276	0.14567	0.15281	
1.44438	0.07241	0.07548	0.0853	0.10216	0.12301	0.14079	0.14784	
1.52934	0.06892	0.07188	0.08141	0.09789	0.11835	0.13586	0.14281	
1.61431	0.06537	0.06822	0.07748	0.09358	0.11367	0.13091	0.13775	
1.69927	0.06179	0.06454	0.07352	0.08925	0.10897	0.12594	0.13269	
1.78423	0.05808	0.06073	0.06944	0.08479	0.10414	0.12084	0.12749	
1.8692	0.05419	0.05675	0.06518	0.08016	0.09913	0.11555	0.1221	
1.95416	0.05034	0.0528	0.06096	0.07557	0.09416	0.11031	0.11675	
2.03912	0.04653	0.04888	0.05678	0.07101	0.08923	0.1051	0.11144	
2.12409	0.04275	0.04501	0.05263	0.0665	0.08435	0.09993	0.10617	
2.20905	0.03902	0.04118	0.04854	0.06203	0.0795	0.09482	0.10095	
2.29401	0.03596	0.03803	0.04513	0.05827	0.07539	0.09045	0.09649	
2.37898	0.03349	0.03546	0.04232	0.05514	0.07193	0.08675	0.09271	
2.46394	0.03099	0.03288	0.0395	0.05199	0.06847	0.08306	0.08893	
2.5489	0.02848	0.03029	0.03668	0.04885	0.06501	0.07937	0.08516	
2.63387	0.02597	0.02769	0.03385	0.04571	0.06156	0.07569	0.08139	
2.71883	0.02346	0.0251	0.03103	0.04259	0.05813	0.07203	0.07765	
2.80379	0.02062	0.02217	0.02788	0.03912	0.05434	0.068	0.07354	
2.88876	0.01761	0.01908	0.02455	0.03548	0.05037	0.0638	0.06925	
2.97372	0.01464	0.01602	0.02127	0.03188	0.04645	0.05964	0.065	
3.05868	0.0117	0.01301	0.01803	0.02832	0.04258	0.05552	0.06079	
3.14365	0.00881	0.01004	0.01483	0.02481	0.03874	0.05145	0.05663	
3.22861	0.00596	0.00711	0.01168	0.02134	0.03495	0.04742	0.05251	
3.31358	7e-005	0.00113	0.00544	0.01472	0.02792	0.04006	0.04503	
3.39854	-0.00659	-0.00564	-0.0016	0.00726	0.02	0.03179	0.03662	
3.4835	-0.013	-0.01214	-0.0084	4e-005	0.01232	0.02375	0.02844	
3.56846	-0.01916	-0.01841	-0.01496	-0.00695	0.00487	0.01593	0.02049	
3.65343	-0.0251	-0.02445	-0.0213	-0.01372	-0.00238	0.00832	0.01274	
3.73839	-0.03083	-0.03029	-0.02743	-0.02029	-0.00942	0.00091	0.0052	
3.82336	-0.03324	-0.03279	-0.03021	-0.02345	-0.01296	-0.00291	0.00127	
3.90832	-0.03514	-0.03479	-0.03247	-0.02607	-0.01594	-0.00616	-0.00208	
3.99328	-0.03704	-0.03679	-0.03472	-0.02867	-0.0189	-0.00938	-0.0054	
4.07825	-0.03894	-0.03877	-0.03696	-0.03125	-0.02183	-0.01257	-0.00868	
4.16321	-0.04083	-0.04075	-0.03918	-0.03381	-0.02472	-0.01572	-0.01193	
4.24817	-0.04271	-0.04271	-0.04138	-0.03634	-0.02759	-0.01883	-0.01513	
4.33314	-0.04457	-0.04466	-0.04355	-0.03883	-0.03041	-0.0219	-0.01829	
4.4181	-0.04641	-0.04658	-0.0457	-0.0413	-0.0332	-0.02493	-0.02141	
4.50306	-0.04823	-0.04849	-0.04782	-0.04373	-0.03595	-0.02791	-0.02448	
4.58803	-0.05003	-0.05036	-0.04991	-0.04612	-0.03865	-0.03085	-0.0275	
4.67299	-0.05181	-0.05221	-0.05197	-0.04847	-0.0413	-0.03373	-0.03047	
4.75795	-0.05356	-0.05403	-0.054	-0.05078	-0.04391	-0.03656	-0.03338	
4.84292	-0.05527	-0.05582	-0.05598	-0.05305	-0.04647	-0.03934	-0.03624	
4.92788	-0.05696	-0.05757	-0.05793	-0.05527	-0.04897	-0.04206	-0.03905	
5.01284	-0.05778	-0.05847	-0.05901	-0.05661	-0.05059	-0.04388	-0.04094	
5.09781	-0.05403	-0.05479	-0.05553	-0.05336	-0.04752	-0.04093	-0.03802	
5.18277	-0.0504	-0.05124	-0.05215	-0.0502	-0.04454	-0.03805	-0.03518	
5.26774	-0.04689	-0.04779	-0.04888	-0.04713	-0.04164	-0.03525	-0.03241	
5.3527	-0.04349	-0.04446	-0.04571	-0.04416	-0.03883	-0.03253	-0.02972	
5.43766	-0.04021	-0.04123	-0.04264	-0.04127	-0.03609	-0.02989	-0.02711	
5.52263	-0.03703	-0.03812	-0.03968	-0.03848	-0.03344	-0.02732	-0.02456	
5.60759	-0.03396	-0.0351	-0.0368	-0.03577	-0.03086	-0.02482	-0.02208	
5.69255	-0.031	-0.03219	-0.03403	-0.03315	-0.02837	-0.02239	-0.01968	
5.77752	-0.02814	-0.02938	-0.03134	-0.03061	-0.02594	-0.02003	-0.01734	
